Sample,Location,Borehole,Depth,Soil bulk density (kN/m3),Soil bulk density (g/cm3),Soil dry density (kN/m3),Field resistivity  (ρ),Lab. Resistivity  (ρa),Porosity (%),Moisture content (%),
187,,,1.0,14.64,1.49,11.73,196.60,383.57,55.75,24.88,
188,,,1.5,16.02,1.63,13.17,213.60,545.16,50.30,21.63,
189,,,2.0,15.83,1.61,12.93,211.60,738.17,51.22,22.45,
190,,,2.5,15.68,1.60,12.82,212.20,946.18,51.63,22.34,
191,,,3.0,14.68,1.50,11.91,214.69,994.62,55.05,23.24,
192,CAMERON - 2,BH 35,0.5,14.80,1.51,12.31,200.30,394.49,53.55,20.23,
193,,,1.0,15.02,1.53,12.42,192.10,636.01,53.13,20.92,
194,,,1.5,15.29,1.56,12.51,214.90,433.60,52.81,22.23,
195,,,2.0,15.48,1.58,12.40,208.40,623.03,53.20,24.84,
196,,,2.5,15.91,1.62,12.58,204.90,386.09,52.53,26.50,
197,,,3.0,15.66,1.60,12.36,188.30,717.29,53.37,26.69,
198,PULAU INDAH - 1,BH 36,0.5,13.66,1.39,13.22,,2493.18,50.12,3.36,
199,,,1.0,14.64,1.49,13.77,,4452.10,48.03,6.32,
200,,,1.5,16.02,1.63,15.53,,4361.24,41.40,3.16,
201,,,2.0,15.83,1.61,14.02,,138.51,47.09,12.89,
202,,,2.5,15.68,1.60,15.48,,4361.24,41.57,1.28,
203,,,3.0,14.68,1.50,9.08,,12.33,65.73,61.63,
204,PEKAN - 1,BH 37,1.0,13.20,1.35,8.39,0.94,24.24,68.34,57.34,
205,,,1.5,12.47,1.27,5.49,3.11,23.87,79.30,127.30,
206,,,2.0,13.50,1.38,6.96,97.40,31.90,73.73,93.90,
207,,,2.5,14.96,1.53,9.19,71.48,32.95,65.33,62.87,
208,,,3.0,15.54,1.58,10.21,38.65,39.59,61.48,52.22,
209,PEKAN - 2,BH 38,1.0,14.26,1.45,8.39,4.40,36.65,68.35,69.97,
210,,,1.5,13.46,1.37,6.80,30.16,17.48,74.36,98.03,
211,,,2.0,14.48,1.48,8.56,6.91,20.37,67.69,69.10,
212,,,2.5,15.55,1.59,9.71,86.41,28.09,63.34,60.04,
213,,,3.0,15.89,1.62,10.82,103.69,35.07,59.16,46.77,
215,DAMANSARA -1,BH 39,1.0,13.72,1.40,11.78,,1593.44,57.24,16.48,
216,,,2.0,13.50,1.38,11.70,,707.13,55.85,15.38,
217,,,3.0,15.54,1.58,13.13,,1134.28,50.47,18.39,
218,DAMANSARA -2,BH 40,1.0,14.84,1.51,12.48,,14458.79,54.78,18.95,
219,,,2.0,14.60,1.49,12.54,,7876.51,53.09,16.46,
220,,,3.0,16.43,1.68,13.53,,3670.76,50.62,21.40,
221,MARANG - 1,BH 41,1.0,15.62,1.59,13.74,,10087.35,48.14,13.63,
222,,,2.0,14.92,1.52,12.93,,481.28,51.20,15.34,
223,,,3.0,15.22,1.55,13.28,,1492.06,49.88,14.57,
223,MUAR - 1,BH 42,1.0,15.00,1.53,8.10,,,69.43,13.63,
224,,,2.0,13.04,1.33,6.53,,,75.35,15.34,
