Sample,Location,Borehole,Depth,Clay (%),Silt (%),Sand (%),Gravels (%),D10,D30,D60,CU,CC,1D inverted resistivity,Lab. Resistivity  (?a),Moisture content (%),Soil Classification,,,,,,,,,,,,
79,SHAH ALAM - 1,BH 14,0.5,28.00,33.65,38.35,0.00,0.00,0.00,0.00,3.00,1.33,25.32,616.12,32.68,ML,,,,,,,,,,,,
80,,,1.0,52.00,33.20,14.80,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,39.52,101.62,64.45,MH,,,,,,,,,,,,
81,,,1.5,52.00,26.00,22.00,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,47.74,44.72,39.05,MH,,,,,,,,,,,,
82,,,2.0,43.00,29.80,27.20,0.00,0.00,0.00,0.01,#DIV/0!,#DIV/0!,51.58,250.57,35.06,ML,,,,,,,,,,,,
83,,,2.5,53.00,34.40,12.60,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,52.78,40.93,53.47,MH,,,,,,,,,,,,
84,,,3.0,54.00,29.00,17.00,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,52.5,48.13,66.32,CH,,,,,,,,,,,,
85,SHAH ALAM - 2,BH 15,0.5,37.00,32.00,31.00,0.00,0.00,0.00,0.03,#DIV/0!,#DIV/0!,169.8,203.75,38.52,ML,,,,,,,,,,,,
86,,,1.0,38.00,21.80,40.20,0.00,0.00,0.00,0.06,#DIV/0!,#DIV/0!,113.7,260.84,52.70,CL,,,,,,,,,,,,
87,,,1.5,44.00,26.00,30.00,0.00,0.00,0.00,0.01,#DIV/0!,#DIV/0!,90.37,55.23,24.16,MH,,,,,,,,,,,,
88,,,2.0,36.00,28.00,36.00,0.00,0.00,0.00,0.04,#DIV/0!,#DIV/0!,78.28,40.54,71.91,MH,,,,,,,,,,,,
89,,,2.5,40.00,32.00,28.00,0.00,0.00,0.00,0.01,#DIV/0!,#DIV/0!,71.11,66.35,33.67,MH,,,,,,,,,,,,
90,,,3.0,38.00,41.00,21.00,0.00,0.00,0.00,0.01,#DIV/0!,#DIV/0!,66.69,46.97,42.08,ML,,,,,,,,,,,,
91,PUNCAK PERDANA - 1,BH 16,0.5,38.00,9.62,52.38,0.00,0.00,0.00,0.28,#DIV/0!,#DIV/0!,2204.1,2059.67,19.98,,,,,,,,,,,,,
92,,,1.0,44.00,16.00,40.00,0.00,0.00,0.00,0.05,#DIV/0!,#DIV/0!,1869.6,2622.00,32.64,,,,,,,,,,,,,
