Sample,Location,Borehole,Depth,pH,TOC,Field conductivity,Lab conductivity,Field resistivity  (ρ),Lab. Resistivity  (ρa)
73,PARIT - 2,BH 13,0.5,3.66,0.05,2.28,1.90,439.09,527.19
74,,,1.0,3.72,0.07,3.34,1.64,299.24,610.20
75,,,1.5,4.65,0.09,2.97,1.30,336.89,769.50
76,,,2.0,4.69,0.03,2.75,2.78,364.16,360.16
77,,,2.5,3.76,0.03,2.87,3.29,347.83,304.39
78,,,3.0,4.16,0.09,2.77,4.45,360.89,224.63
79,SHAH ALAM - 1,BH 14,0.5,3.28,0.037,49.24,1.62,20.31,616.12
80,,,1.0,3.49,0.154,22.10,9.84,45.26,101.62
81,,,1.5,3.37,1.170,22.26,22.36,44.93,44.72
82,,,2.0,4.08,0.426,10.33,3.99,96.77,250.57
83,,,2.5,3.96,0.715,26.29,24.43,38.03,40.93
84,,,3.0,4.54,0.442,22.60,20.78,44.26,48.13
85,SHAH ALAM - 2,BH 15,0.5,3.23,0.212,5.97,4.91,167.55,203.75
86,,,1.0,3.09,0.009,7.17,3.83,139.39,260.84
87,,,1.5,3.22,0.163,20.60,18.11,48.54,55.23
88,,,2.0,3.51,0.422,8.44,24.67,118.45,40.54
89,,,2.5,4.03,1.160,8.07,15.07,123.87,66.35
90,,,3.0,5.02,0.216,25.64,21.29,39.00,46.97
91,PUNCAK - 1,BH 16,0.5,3.92,0.329,0.51,0.49,1960.61,2059.67
92,,,1.0,4.21,0.071,0.38,0.38,2658.13,2622.00
93,,,1.5,3.97,0.001,0.95,0.58,1051.00,1714.05
94,,,2.0,3.91,0.003,0.86,0.50,1166.31,1994.47
95,,,2.5,3.80,0.161,0.96,0.65,1040.79,1538.49
96,,,3.0,3.80,0.060,0.93,0.55,1077.39,1830.37
97,PUNCAK - 2,BH 17,0.5,3.82,0.181,1.14,0.40,878.03,2483.99
98,,,1.0,3.73,0.317,0.97,0.50,1027.43,2012.40
99,,,1.5,3.78,0.093,0.86,0.73,1159.87,1368.26
100,,,2.0,3.82,0.096,1.04,0.49,965.85,2020.62
101,,,2.5,3.74,0.138,1.00,0.45,996.01,2212.13
102,,,3.0,3.70,0.052,0.99,0.66,1012.35,1521.14
103,HUTAN MELINTANG - 1,BH 18,0.5,3.47,3.214,23.35,6.15,42.83,162.49
104,,,1.0,3.37,1.023,33.44,12.29,29.91,81.37
105,,,1.5,3.04,2.314,45.31,83.72,22.07,11.94
